Start Time (EpMin),Stop Time (EpMin),Duration (min),to Sat,from sat,Is Ascending
104.1295833,111.7143,7.5847,415,513,1
105.4293667,113.0138333,7.584466667,503,101,0
105.4295,113.0143333,7.584833333,103,201,0
105.4301667,113.0152667,7.5851,403,501,0
105.4303833,113.0161,7.585716667,203,301,0
105.4308,113.0166667,7.585866667,303,401,0
107.2686833,114.8545667,7.585866667,207,305,0
107.2687,114.8544167,7.585716667,107,205,0
107.2702667,114.8555167,7.58525,307,405,0
107.2702833,114.8552833,7.585016667,507,105,0
107.27125,114.8559667,7.584716667,407,505,0
108.571,116.1554333,7.584416667,510,108,1
108.57115,116.15595,7.584816667,110,208,1
108.5718333,116.1569,7.585066667,410,508,1
108.57205,116.15775,7.5857,210,308,1
108.5724833,116.1583333,7.585866667,310,408,1
110.4103667,117.9962,7.585833333,214,312,1
110.4103833,117.99605,7.585683333,114,212,1
110.412,117.9972,7.5852,314,412,1
110.4120167,117.99695,7.584933333,514,112,1
110.4130167,117.99765,7.584633333,414,512,1
111.71265,119.2970667,7.584433333,502,115,0
111.7127833,119.2976,7.584816667,102,215,0
111.7135,119.2985833,7.5851,402,515,0
111.7137167,119.29945,7.585733333,202,315,0
111.71415,119.30005,7.5859,302,415,0
113.5519667,121.1377,7.585716667,106,204,0
113.5519667,121.13785,7.585883333,206,304,0
113.55365,121.1386167,7.584966667,506,104,0
113.55365,121.1388667,7.585216667,306,404,0
113.5546833,121.1393333,7.58465,406,504,0
114.8542833,122.43865,7.584366667,509,107,1
114.8544333,122.4392,7.584766667,109,207,1
114.85515,122.4402,7.58505,409,507,1
114.8553833,122.4411,7.585716667,209,307,1
114.8558333,122.4417167,7.585883333,309,407,1
116.6935833,124.2793333,7.58575,113,211,1
116.6935833,124.2794833,7.5859,213,311,1
116.6953167,124.2802833,7.584966667,513,111,1
116.6953167,124.2805333,7.585216667,313,411,1
116.6963833,124.2810167,7.584633333,413,511,1
117.9959167,125.5802833,7.58435,501,114,0
117.9960667,125.58085,7.584766667,101,214,0
117.9968167,125.5818833,7.585066667,401,514,0
117.99705,125.5827833,7.585733333,201,314,0
117.9975167,125.5834333,7.5859,301,414,0
119.8352333,127.4209667,7.585733333,105,203,0
119.8352333,127.4211333,7.5859,205,303,0
119.837,127.4222,7.5852,305,403,0
119.8370167,127.4219333,7.584933333,505,103,0
119.8381,127.4227,7.5846,405,503,0
121.1375667,128.7219167,7.58435,508,106,1
121.1377167,128.7225,7.584783333,108,206,1
121.1384833,128.72355,7.585083333,408,506,1
121.1387333,128.7245,7.585766667,208,306,1
121.1392,128.72515,7.58595,308,406,1
122.97685,130.5626167,7.585766667,112,210,1
122.97685,130.5627833,7.585933333,212,310,1
122.9786667,130.5636,7.584933333,512,110,1
122.9786667,130.5638667,7.585216667,312,410,1
122.9797833,130.5643833,7.584583333,412,510,1
124.2792,131.8635333,7.584333333,515,113,0
124.27935,131.8641333,7.584783333,115,213,0
124.28015,131.8652167,7.585066667,415,513,0
124.2804,131.8661833,7.585783333,215,313,0
124.2808833,131.86685,7.585966667,315,413,0
126.1185,133.70425,7.58575,104,202,0
126.1185,133.7044167,7.585916667,204,302,0
126.12035,133.7055333,7.585183333,304,402,0
126.1203667,133.7052667,7.5849,504,102,0
126.1215,133.7060667,7.58455,404,502,0
127.4208333,135.00515,7.584316667,507,105,1
127.421,135.0057667,7.584766667,107,205,1
127.4218,135.0068667,7.585066667,407,505,1
127.4220667,135.00785,7.585783333,207,305,1
127.4225667,135.0085333,7.585966667,307,405,1
129.2601167,136.8460667,7.585933333,211,309,1
129.2601333,136.8458833,7.585766667,111,209,1
129.2620333,136.8472,7.585166667,311,409,1
129.26205,136.8469333,7.584883333,511,109,1
129.2632167,136.8477333,7.584533333,411,509,1
130.5624833,138.14675,7.584283333,514,112,0
130.5626333,138.1473833,7.584733333,114,212,0
130.5634667,138.1485167,7.58505,414,512,0
130.5637333,138.1495167,7.585783333,214,312,0
130.56425,138.1502167,7.585966667,314,412,0
132.40175,139.9875333,7.585783333,103,201,0
132.40175,139.9877,7.585966667,203,301,0
132.4037,139.9885833,7.584883333,503,101,0
132.4037,139.9888667,7.585183333,303,401,0
132.4049,139.9894167,7.584516667,403,501,0
133.7041167,141.2883833,7.584266667,506,104,1
133.7042833,141.2890167,7.584733333,106,204,1
133.7051333,141.2901833,7.58505,406,504,1
133.7054,141.2912167,7.585816667,206,304,1
133.7059167,141.2919333,7.586,306,404,1
135.5433667,143.12935,7.585966667,210,308,1
135.5433833,143.1291667,7.585783333,110,208,1
135.5453667,143.13055,7.585166667,310,408,1
135.5454,143.13025,7.58485,510,108,1
135.5466167,143.1311,7.584483333,410,508,1
136.84575,144.43,7.58425,513,111,0
136.8459333,144.43065,7.584733333,113,211,0
136.8467833,144.4318333,7.58505,413,511,0
136.8470667,144.4329,7.585816667,213,311,0
136.8476,144.4336167,7.586016667,313,411,0
138.6849833,146.2708,7.585816667,102,215,0
138.6849833,146.2709833,7.586,202,315,0
138.6870333,146.2722167,7.585183333,302,415,0
138.68705,146.2719167,7.584866667,502,115,0
138.6883,146.2727833,7.584483333,402,515,0
139.9873833,147.5716,7.584216667,505,103,1
139.9875667,147.5722667,7.5847,105,203,1
139.98845,147.5734833,7.585033333,405,503,1
139.9887333,147.5745667,7.585816667,205,303,1
139.9892833,147.5753,7.586016667,305,403,1
141.8266167,149.4124333,7.585816667,109,207,1
141.8266167,149.4126333,7.586016667,209,307,1
141.8287167,149.4135833,7.58485,509,107,1
141.8287167,149.4138833,7.585166667,309,407,1
141.83,149.4144667,7.58445,409,507,1
143.1290333,150.7132167,7.584183333,512,110,0
143.1292167,150.71395,7.584733333,112,210,0
143.1301167,150.7151333,7.585016667,412,510,0
143.1304167,150.7162833,7.585866667,212,310,0
143.1309667,150.71705,7.586083333,312,410,0
144.9682,152.5540833,7.585883333,101,214,0
144.9682167,152.5542667,7.58605,201,314,0
144.9703667,152.5552333,7.584866667,501,114,0
144.9703667,152.55555,7.585183333,301,414,0
144.9716833,152.55615,7.584466667,401,514,0
146.2706667,153.85485,7.584183333,504,102,1
146.27085,153.85555,7.5847,104,202,1
146.2717833,153.8568167,7.585033333,404,502,1
146.2720833,153.8579333,7.58585,204,302,1
146.27265,153.8587167,7.586066667,304,402,1
148.1098667,155.6957167,7.58585,108,206,1
148.1098667,155.6959167,7.58605,208,306,1
148.11205,155.6969,7.58485,508,106,1
148.11205,155.6972167,7.585166667,308,406,1
148.1134,155.6978333,7.584433333,408,506,1
149.4123,156.9964833,7.584183333,511,109,0
149.4125,156.9971833,7.5847,111,209,0
149.4134333,156.9984833,7.58505,411,509,0
149.41375,156.9996167,7.585866667,211,309,0
149.4143333,157.0004167,7.586083333,311,409,0
151.2515,158.83735,7.58585,115,213,0
151.2515,158.8375667,7.586066667,215,313,0
151.2537167,158.8385667,7.58485,515,113,0
151.2537333,158.8388833,7.585166667,315,413,0
151.2551167,158.8395,7.5844,415,513,0
152.55395,160.1381167,7.584166667,503,101,1
152.5541333,160.1388333,7.5847,103,201,1
152.5551,160.14015,7.58505,403,501,1
152.5554167,160.1413167,7.5859,203,301,1
152.5560167,160.1421333,7.586116667,303,401,1
154.3931167,161.979,7.585866667,107,205,1
154.3931167,161.9792,7.586083333,207,305,1
154.3954,161.9802167,7.584816667,507,105,1
154.3954,161.98055,7.585166667,307,405,1
154.3968,161.9811833,7.584383333,407,505,1
155.6955833,163.2797,7.584116667,510,108,0
155.6957833,163.2804833,7.5847,110,208,0
155.6967667,163.2817833,7.585016667,410,508,0
155.6970833,163.2830167,7.585933333,210,308,0
155.6977,163.2838333,7.58615,310,408,0
157.5347333,165.1206333,7.5859,114,212,0
157.5347333,165.12085,7.586116667,214,312,0
157.53705,165.1222333,7.585166667,314,412,0
157.5370667,165.1218833,7.584816667,514,112,0
157.5385,165.1228667,7.584383333,414,512,0
158.8372167,166.4213333,7.584116667,502,115,1
158.8374167,166.4221,7.584666667,102,215,1
158.8384333,166.4234667,7.585033333,402,515,1
158.83875,166.4246833,7.585916667,202,315,1
158.8393667,166.4255167,7.58615,302,415,1
160.6763667,168.2622667,7.5859,106,204,1
160.6763667,168.2624833,7.586116667,206,304,1
160.6787333,168.2639,7.58515,306,404,1
160.67875,168.26355,7.5848,506,104,1
160.6802167,168.26455,7.58435,406,504,1
161.9788667,169.5629667,7.5841,509,107,0
161.9790667,169.5637333,7.584666667,109,207,0
161.9800833,169.5651333,7.585033333,409,507,0
161.9804167,169.5663667,7.58595,209,307,0
161.98105,169.5672167,7.586166667,309,407,0
163.8179667,171.4039167,7.58595,113,211,0
163.8179667,171.4041333,7.586166667,213,311,0
163.8203833,171.4052167,7.584816667,513,111,0
163.8203833,171.4055667,7.585183333,313,411,0
163.8218833,171.4062333,7.58435,413,511,0
165.1205,172.7045667,7.584066667,501,114,1
165.1207167,172.70535,7.58465,101,214,1
165.12175,172.7067667,7.585016667,401,514,1
165.1220833,172.7080333,7.585933333,201,314,1
165.1227333,172.7089,7.586166667,301,414,1
166.9595833,174.54555,7.585966667,105,203,1
166.9595833,174.5457667,7.5862,205,303,1
166.96205,174.5468667,7.584816667,505,103,1
166.96205,174.5472333,7.585183333,305,403,1
166.9635667,174.5479167,7.58435,405,503,1
168.2621333,175.8462,7.584066667,508,106,0
168.26235,175.847,7.58465,108,206,0
168.2634167,175.8484333,7.585016667,408,506,0
168.2637667,175.8497167,7.585966667,208,306,0
168.2644167,175.8506167,7.5862,308,406,0
170.10125,177.6871833,7.58595,112,210,0
170.10125,177.6874167,7.586166667,212,310,0
170.10375,177.6889,7.58515,312,410,0
170.1037667,177.6885333,7.584783333,512,110,0
170.1053,177.6896,7.584283333,412,510,0
171.4037833,178.9878,7.584033333,515,113,1
171.404,178.9886167,7.584616667,115,213,1
171.4050833,178.9900833,7.585016667,415,513,1
171.4054333,178.9914,7.585966667,215,313,1
171.4061,178.9923,7.5862,315,413,1
173.2428667,180.82905,7.586183333,204,302,1
173.2428833,180.8288333,7.58595,104,202,1
173.2454333,180.8302,7.584766667,504,102,1
173.2454333,180.8305667,7.58515,304,402,1
173.2470167,180.8312833,7.584266667,404,502,1
174.5454167,182.1294333,7.584016667,507,105,0
174.5456333,182.13025,7.584616667,107,205,0
174.5467333,182.13175,7.585016667,407,505,0
174.5471,182.1330833,7.585983333,207,305,0
174.5477833,182.134,7.586216667,307,405,0
176.3845,183.9707,7.5862,211,309,0
176.3845167,183.9704667,7.58595,111,209,0
176.3871167,183.9718667,7.584733333,511,109,0
176.3871167,183.9722333,7.585133333,311,409,0
176.3887167,183.97295,7.584233333,411,509,0
177.68705,185.2710333,7.583983333,514,112,1
177.6872833,185.2718833,7.5846,114,212,1
177.6884,185.2734,7.585,414,512,1
177.6887667,185.27475,7.585983333,214,312,1
177.6894667,185.2756833,7.586233333,314,412,1
179.5261167,187.1121,7.585983333,103,201,1
179.5261167,187.11235,7.586216667,203,301,1
179.5287667,187.1139,7.585133333,303,401,1
179.5287833,187.1135167,7.58475,503,101,1
179.5304,187.1146333,7.584233333,403,501,1
180.8287,188.4126667,7.583966667,506,104,0
180.8289167,188.4135167,7.584583333,106,204,0
180.8300667,188.4150667,7.585,406,504,0
180.8304333,188.4164333,7.586,206,304,0
180.8311333,188.4173833,7.58625,306,404,0
182.6677333,190.25375,7.586,110,208,0
182.6677333,190.2539833,7.58625,210,308,0
182.6704333,190.2555833,7.58515,310,408,0
182.67045,190.2551833,7.584733333,510,108,0
182.6721,190.2563167,7.584216667,410,508,0
183.9703333,191.5542833,7.583966667,513,111,1
183.9705667,191.55515,7.5846,113,211,1
183.9717333,191.5567333,7.585,413,511,1
183.9721,191.5581333,7.586033333,213,311,1
183.9728167,191.5591,7.586283333,313,411,1
185.8093667,193.3953833,7.586,102,215,1
185.8093667,193.3956333,7.58625,202,315,1
185.8121167,193.39685,7.584716667,502,115,1
185.8121167,193.39725,7.585133333,302,415,1
185.8138167,193.398,7.584183333,402,515,1
187.1119667,194.6959333,7.583966667,505,103,0
187.1122,194.6968167,7.5846,105,203,0
187.1133833,194.6984,7.585016667,405,503,0
187.1137667,194.6998333,7.58605,205,303,0
187.1145,194.7008167,7.586316667,305,403,0
188.951,196.5370167,7.586016667,109,207,0
188.951,196.5372667,7.586266667,209,307,0
188.9537833,196.5389167,7.585133333,309,407,0
188.9538167,196.5385167,7.5847,509,107,0
188.9555167,196.5396833,7.584166667,409,507,0
190.2536,197.83755,7.583933333,512,110,1
190.25385,197.8384333,7.584583333,112,210,1
190.25505,197.8400667,7.585016667,412,510,1
190.25545,197.8415167,7.586066667,212,310,1
190.2561833,197.8425167,7.586316667,312,410,1
192.0925667,199.67865,7.586083333,101,214,1
192.0925667,199.6789167,7.58635,201,314,1
192.0954,199.6805833,7.585183333,301,414,1
192.0954167,199.6801667,7.584766667,501,114,1
192.09715,199.6813667,7.5842,401,514,1
193.39525,200.9791667,7.583916667,504,102,0
193.3955,200.9800833,7.584583333,104,202,0
193.3967167,200.9817333,7.585016667,404,502,0
193.3971167,200.9832,7.586083333,204,302,0
193.3978667,200.9842167,7.58635,304,402,0
195.23425,202.82055,7.5863,208,306,0
195.2342667,202.8203,7.586033333,108,206,0
195.2371333,202.8218333,7.5847,508,106,0
195.2371333,202.82225,7.585116667,308,406,0
195.2389,202.82305,7.58415,408,506,0
196.5368833,204.1207833,7.5839,511,109,1
196.5371333,204.1217167,7.584583333,111,209,1
196.5383833,204.1233667,7.585,411,509,1
196.5387833,204.1248667,7.586083333,211,309,1
196.53955,204.1259,7.58635,311,409,1
198.3758167,205.9622,7.586366667,215,313,1
198.3758333,205.9619333,7.5861,115,213,1
198.37875,205.9639167,7.585166667,315,413,1
198.3787667,205.9635,7.584733333,515,113,1
198.3805667,205.9647167,7.584166667,415,513,1
199.6785167,207.2623833,7.583866667,503,101,0
199.6787833,207.2633333,7.58455,103,201,0
199.6800333,207.2650333,7.585,403,501,0
199.68045,207.2665333,7.5861,203,301,0
199.6812333,207.2675833,7.586366667,303,401,0
201.5175,209.1035667,7.586066667,107,205,0
201.5175,209.1038333,7.58635,207,305,0
201.5204667,209.1055833,7.585116667,307,405,0
201.5204833,209.1051667,7.584666667,507,105,0
201.5223167,209.1064,7.5841,407,505,0
202.8201667,210.4040167,7.583866667,510,108,1
202.8204167,210.4049667,7.58455,110,208,1
202.8217,210.4067,7.585,410,508,1
202.8221167,210.4082333,7.586116667,210,308,1
202.8229167,210.4093,7.586383333,310,408,1
204.6590833,212.2452167,7.586133333,114,212,1
204.6590833,212.2454833,7.5864,214,312,1
204.6621,212.2472667,7.585166667,314,412,1
204.6621167,212.2468167,7.584716667,514,112,1
204.6639667,212.2480833,7.584116667,414,512,1
205.9618,213.5456333,7.583833333,502,115,0
205.9620667,213.5466,7.58455,102,215,0
205.9633667,213.54835,7.585,402,515,0
205.9637833,213.5499167,7.586133333,202,315,0
205.9645833,213.551,7.586416667,302,415,0
207.80075,215,7.19925,106,204,0
207.80075,215,7.19925,206,304,0
207.8037667,215,7.196233333,306,404,0
207.8038333,215,7.196166667,506,104,0
207.8057167,215,7.194283333,406,504,0
209.1034333,215,5.896566667,509,107,1
209.1037,215,5.8963,109,207,1
209.1050167,215,5.894983333,409,507,1
209.10545,215,5.89455,209,307,1
209.1062667,215,5.893733333,309,407,1
210.9423667,215,4.057633333,213,311,1
210.9423833,215,4.057616667,113,211,1
210.9454833,215,4.054516667,313,411,1
210.9455,215,4.0545,513,111,1
210.9474167,215,4.052583333,413,511,1
212.2450833,215,2.754916667,501,114,0
212.24535,215,2.75465,101,214,0
212.2466833,215,2.753316667,401,514,0
212.2471167,215,2.752883333,201,314,0
212.24795,215,2.75205,301,414,0
214.084,215,0.916,105,203,0
214.084,215,0.916,205,303,0
214.08715,215,0.91285,305,403,0
214.0871667,215,0.912833333,505,103,0
214.0891,215,0.9109,405,503,0
